"example","label","cell","adjust","method","b","se","df","lcl","ucl","signif"
"E2","Food insecurity -> depression","E2_noBMI","sensitivity","Fully-Aware",0.1009,0.0119,94,0.0774,0.1245,TRUE
"E2","Food insecurity -> depression","E2_noBMI","sensitivity","Partially-Aware",0.1009,0.0116,29358,0.0781,0.1237,TRUE
"E2","Food insecurity -> depression","E2_noBMI","sensitivity","Non-Aware",0.0789,0.0063,29358,0.0666,0.0912,TRUE
"E2","Food insecurity -> depression","E2_noBMI","sensitivity","Fully-Aware-CV",0.0905,0.0079,94,0.0748,0.1061,TRUE
"E2","Food insecurity -> depression","E2_noBMI","sensitivity","Fully-Aware-CF",0.0946,0.0078,94,0.079,0.1101,TRUE
"E3","E-cigarette use -> hypertension","E3_noDIAB","main","Fully-Aware",0.0308,0.0246,30,-0.0195,0.0811,FALSE
"E3","E-cigarette use -> hypertension","E3_noDIAB","main","Partially-Aware",0.0308,0.0284,10735,-0.0248,0.0864,FALSE
"E3","E-cigarette use -> hypertension","E3_noDIAB","main","Non-Aware",0.0691,0.0154,10735,0.0389,0.0992,TRUE
"E3","E-cigarette use -> hypertension","E3_noDIAB","main","Fully-Aware-CV",0.041,0.0199,30,4e-04,0.0816,TRUE
"E3","E-cigarette use -> hypertension","E3_noDIAB","main","Fully-Aware-CF",0.0377,0.0199,30,-0.003,0.0784,FALSE
"E3","E-cigarette use -> hypertension","E3_noDIAB","sensitivity","Fully-Aware",0.0347,0.0255,30,-0.0175,0.0868,FALSE
"E3","E-cigarette use -> hypertension","E3_noDIAB","sensitivity","Partially-Aware",0.0347,0.0285,10735,-0.0211,0.0905,FALSE
"E3","E-cigarette use -> hypertension","E3_noDIAB","sensitivity","Non-Aware",0.068,0.0151,10735,0.0384,0.0976,TRUE
"E3","E-cigarette use -> hypertension","E3_noDIAB","sensitivity","Fully-Aware-CV",0.0421,0.0197,30,0.0019,0.0822,TRUE
"E3","E-cigarette use -> hypertension","E3_noDIAB","sensitivity","Fully-Aware-CF",0.0298,0.0194,30,-0.0098,0.0695,FALSE
"E3","E-cigarette use -> hypertension","E3_noBMI","main","Fully-Aware",0.0308,0.0246,30,-0.0195,0.0811,FALSE
"E3","E-cigarette use -> hypertension","E3_noBMI","main","Partially-Aware",0.0308,0.0284,10735,-0.0248,0.0864,FALSE
"E3","E-cigarette use -> hypertension","E3_noBMI","main","Non-Aware",0.0691,0.0154,10735,0.0389,0.0992,TRUE
"E3","E-cigarette use -> hypertension","E3_noBMI","main","Fully-Aware-CV",0.041,0.0199,30,4e-04,0.0816,TRUE
"E3","E-cigarette use -> hypertension","E3_noBMI","main","Fully-Aware-CF",0.0377,0.0199,30,-0.003,0.0784,FALSE
"E3","E-cigarette use -> hypertension","E3_noBMI","sensitivity","Fully-Aware",0.0268,0.0267,30,-0.0278,0.0814,FALSE
"E3","E-cigarette use -> hypertension","E3_noBMI","sensitivity","Partially-Aware",0.0268,0.0298,10735,-0.0316,0.0853,FALSE
"E3","E-cigarette use -> hypertension","E3_noBMI","sensitivity","Non-Aware",0.0649,0.0155,10735,0.0344,0.0953,TRUE
"E3","E-cigarette use -> hypertension","E3_noBMI","sensitivity","Fully-Aware-CV",0.0418,0.0199,30,0.0012,0.0824,TRUE
"E3","E-cigarette use -> hypertension","E3_noBMI","sensitivity","Fully-Aware-CF",0.0422,0.0201,30,0.001,0.0833,TRUE
"E3","E-cigarette use -> hypertension","E3_noBOTH","main","Fully-Aware",0.0308,0.0246,30,-0.0195,0.0811,FALSE
"E3","E-cigarette use -> hypertension","E3_noBOTH","main","Partially-Aware",0.0308,0.0284,10735,-0.0248,0.0864,FALSE
"E3","E-cigarette use -> hypertension","E3_noBOTH","main","Non-Aware",0.0691,0.0154,10735,0.0389,0.0992,TRUE
"E3","E-cigarette use -> hypertension","E3_noBOTH","main","Fully-Aware-CV",0.041,0.0199,30,4e-04,0.0816,TRUE
"E3","E-cigarette use -> hypertension","E3_noBOTH","main","Fully-Aware-CF",0.0377,0.0199,30,-0.003,0.0784,FALSE
"E3","E-cigarette use -> hypertension","E3_noBOTH","sensitivity","Fully-Aware",0.0445,0.029,30,-0.0147,0.1038,FALSE
"E3","E-cigarette use -> hypertension","E3_noBOTH","sensitivity","Partially-Aware",0.0445,0.032,10735,-0.0182,0.1073,FALSE
"E3","E-cigarette use -> hypertension","E3_noBOTH","sensitivity","Non-Aware",0.0697,0.0154,10735,0.0394,0.0999,TRUE
"E3","E-cigarette use -> hypertension","E3_noBOTH","sensitivity","Fully-Aware-CV",0.0475,0.0197,30,0.0073,0.0877,TRUE
"E3","E-cigarette use -> hypertension","E3_noBOTH","sensitivity","Fully-Aware-CF",0.0455,0.0196,30,0.0054,0.0856,TRUE
"E4","GDM history -> hypertension","E4_noBMI","main","Fully-Aware",0.027,0.0254,94,-0.0234,0.0773,FALSE
"E4","GDM history -> hypertension","E4_noBMI","main","Partially-Aware",0.027,0.0246,10955,-0.0212,0.0751,FALSE
"E4","GDM history -> hypertension","E4_noBMI","main","Non-Aware",0.0295,0.0191,10955,-0.008,0.0669,FALSE
"E4","GDM history -> hypertension","E4_noBMI","main","Fully-Aware-CV",0.0161,0.0218,94,-0.0271,0.0594,FALSE
"E4","GDM history -> hypertension","E4_noBMI","main","Fully-Aware-CF",0.0141,0.0233,94,-0.0321,0.0603,FALSE
"E4","GDM history -> hypertension","E4_noBMI","sensitivity","Fully-Aware",0.0543,0.0292,94,-0.0037,0.1122,FALSE
"E4","GDM history -> hypertension","E4_noBMI","sensitivity","Partially-Aware",0.0543,0.0283,10955,-0.0013,0.1098,FALSE
"E4","GDM history -> hypertension","E4_noBMI","sensitivity","Non-Aware",0.0492,0.0201,10955,0.0098,0.0887,TRUE
"E4","GDM history -> hypertension","E4_noBMI","sensitivity","Fully-Aware-CV",0.047,0.0237,94,-1e-04,0.0941,FALSE
"E4","GDM history -> hypertension","E4_noBMI","sensitivity","Fully-Aware-CF",0.0437,0.0246,94,-0.0051,0.0924,FALSE
